search URL:,https://patents.google.com/?assignee=CELLULAR+DYNAMICS+INTERNATIONAL+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-9668463-B2,Mouse model for engraftment potential ,"Cellular Dynamics International, Inc.","James Thomson, Brian McIntosh, Igor Slukvin",2013-10-02,2014-10-02,2017-06-06,2017-06-06,https://patents.google.com/patent/US9668463B2/en,https://patentimages.storage.googleapis.com/ff/1e/d2/d39e91439ed3b7/US09668463-20170606-D00001.png
EP-2451837-B1,Modified ips cells having a mutant form of human immunodeficiency virus (hiv) cellular entry gene ,"Cellular Dynamics International, Inc.","James Thomson, Nick Seay",2009-07-08,2010-07-07,2015-03-25,2015-03-25,https://patents.google.com/patent/EP2451837B1/en,
US-2017067017-A1,Macs-based purification of stem cell-derived retinal pigment epithelium ,"Cellular Dynamics International, Inc.","Nathan Meyer, Lucas Chase, Casey Stankewicz",2015-09-08,2016-09-07,2017-03-09,,https://patents.google.com/patent/US20170067017A1/en,https://patentimages.storage.googleapis.com/69/12/ba/3978222de11a4c/US20170067017A1-20170309-D00001.png
AU-2014201955-B2,Automated method and apparatus for embryonic stem cell culture ,"FUJIFILM Cellular Dynamics, Inc.","Nathaniel Beardsley, Veit Bergendahl, Christine Daigh, Megan Fitzgerald",2007-06-29,2014-04-05,2016-01-14,2016-01-14,https://patents.google.com/patent/AU2014201955B2/en,
US-10093903-B2,Production of virus-receptive pluripotent stem cell (PSC)-derived hepatocytes ,"FUJIFILM Cellular Dynamics, Inc.","Christian Kannemeier, Elisabeth ENGHOFER, Lisa HARMS",2015-10-19,2016-10-19,2018-10-09,2018-10-09,https://patents.google.com/patent/US10093903B2/en,https://patentimages.storage.googleapis.com/b2/81/38/b2a737a6e57def/US10093903-20181009-D00001.png
US-2018179496-A1,Generating mature lineages from induced pluripotent stem cells with mecp2 disruption ,"Cellular Dynamics International, Inc.","Deepika Rajesh, Anne Strouse, Sarah BURTON, Christie MUNN, Bradley Swanson",2016-10-05,2017-10-05,2018-06-28,,https://patents.google.com/patent/US20180179496A1/en,https://patentimages.storage.googleapis.com/eb/06/31/3856813788feb8/US20180179496A1-20180628-D00001.png
US-2018051248-A1,Methods for differentiating pluripotent cells ,"Cellular Dynamics International, Inc.","Christopher W. McMAHON, Lauren E. LITTLE, Wen Bo Wang, Nathaniel A. Elliott",2016-08-16,2017-08-16,2018-02-22,,https://patents.google.com/patent/US20180051248A1/en,https://patentimages.storage.googleapis.com/b1/e1/85/6569c5aebd65ee/US20180051248A1-20180222-D00000.png
US-2019169569-A1,Method for reproducible differentiation of clinical-grade retinal pigment epithelium cells ,"The United States Of America, As Represented By The Secretary, Department Of Health And Human Serv, Cellular Dynamics International, Inc.","Kapil Bharti, Lucas Chase, Feng Xuezhu, Balendu Shekhar Jha",,2016-09-07,2019-06-06,,https://patents.google.com/patent/US20190169569A1/en,https://patentimages.storage.googleapis.com/09/80/db/b2b47532a3b4eb/US20190169569A1-20190606-D00000.png
WO-2017117333-A1,Microtissue formation using stem cell-derived human hepatocytes ,"Cellular Dynamics International, Inc., Fujifilm Corporation","Michael Kenneth HANCOCK, Coby Bennett CARLSON, David A. Mann, Yuta MURAKAMI",2015-12-30,2016-12-29,2017-07-06,,https://patents.google.com/patent/WO2017117333A1/en,
EP-3347456-A1,Method for reproducible differentiation of clinical-grade retinal pigment epithelium cells ,"The United States of America, as represented by The Secretary, Department of Health and Human Services, Cellular Dynamics International, Inc.","Kapil BHARTI, Lucas Chase, Xuezhu FENG, Balendu Shekhar Jha",2015-09-08,2016-09-07,2018-07-18,,https://patents.google.com/patent/EP3347456A1/en,
WO-2018067836-A1,Methods for directed differentiation of pluripotent stem cells to hla homozygous immune cells ,"Cellular Dynamics International, Inc.","Maksym A. Vodyanyk, Xin Zhang, Andrew J. BRANDL, Deepika Rajesh, Bradley Swanson, Christie MUNN, Sarah BURTON, Wen Bo Wang",2016-10-05,2017-10-05,2018-04-12,,https://patents.google.com/patent/WO2018067836A1/en,
AU-2015255253-A1,Methods for the production of ips cells ,"Cellular Dynamics International, Inc.",Amanda Mack,2008-08-12,2015-11-12,2015-12-10,,https://patents.google.com/patent/AU2015255253A1/en,
